Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
Branding,branding,65950c2cb486e312b0cb23c1,657bb757910bceb22fad11a8,65950c651c3579f5d31c414b,false,false,Wed Jan 03 2024 07:27:33 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:27:33 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Branding,branding-2,65950c2cb486e312b0cb23c1,657bb757910bceb22fad11a8,65950c8396e25a8251a32b89,false,false,Wed Jan 03 2024 07:28:03 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:28:03 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Brochure,brochure,65950c2cb486e312b0cb23c1,657bb757910bceb22fad11a8,65950c78e9514696addad7b1,false,false,Wed Jan 03 2024 07:27:52 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:27:52 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Collateral,collateral,65950c2cb486e312b0cb23c1,657bb757910bceb22fad11a8,69243ac525063f3e740a12e8,false,false,Mon Nov 24 2025 11:00:21 GMT+0000 (Coordinated Universal Time),Mon Nov 24 2025 11:00:24 GMT+0000 (Coordinated Universal Time),Mon Nov 24 2025 11:08:54 GMT+0000 (Coordinated Universal Time)
Email Marketing,email-marketing,65950c2cb486e312b0cb23c1,657bb757910bceb22fad11a8,65950cbd042c865e4fc5963c,false,false,Wed Jan 03 2024 07:29:01 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:29:01 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Label,label,65950c2cb486e312b0cb23c1,657bb757910bceb22fad11a8,65950c6fc7221bf0ed64712f,false,false,Wed Jan 03 2024 07:27:43 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:27:43 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Logo Design,logo-design,65950c2cb486e312b0cb23c1,657bb757910bceb22fad11a8,65950c52072110434c62a12c,false,false,Wed Jan 03 2024 07:27:14 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:27:14 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Marketing Consulting,marketing-consulting,65950c2cb486e312b0cb23c1,657bb757910bceb22fad11a8,65950c945945771426f548b7,false,false,Wed Jan 03 2024 07:28:20 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:28:20 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Packaging Design,packaging-design,65950c2cb486e312b0cb23c1,657bb757910bceb22fad11a8,65950c5d9215237e75e4ddf8,false,false,Wed Jan 03 2024 07:27:25 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:27:25 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Print,print,65950c2cb486e312b0cb23c1,657bb757910bceb22fad11a8,65950c8bf419958680d85f80,false,false,Wed Jan 03 2024 07:28:11 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:28:11 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Re-brand,re-brand,65950c2cb486e312b0cb23c1,657bb757910bceb22fad11a8,65950cae51c7c21c9ba20073,false,false,Wed Jan 03 2024 07:28:46 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:28:46 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Shopify,shopify,65950c2cb486e312b0cb23c1,657bb757910bceb22fad11a8,65950ca7c7221bf0ed6490ed,false,false,Wed Jan 03 2024 07:28:39 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:28:39 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Website Design,website-design,65950c2cb486e312b0cb23c1,657bb757910bceb22fad11a8,65950c9cf7d5030390567bc9,false,false,Wed Jan 03 2024 07:28:28 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:28:28 GMT+0000 (Coordinated Universal Time),Wed Jan 03 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Wordpress,wordpress,65950c2cb486e312b0cb23c1,657bb757910bceb22fad11a8,69b7c37714157cf955cd1410,false,false,Mon Mar 16 2026 08:46:47 GMT+0000 (Coordinated Universal Time),Mon Mar 16 2026 08:46:50 GMT+0000 (Coordinated Universal Time),Mon Mar 16 2026 08:46:50 GMT+0000 (Coordinated Universal Time)
