Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Client Logo,Date,Client Name,Client Industry,Project Overview,Post Summary,Main Image,Thumbnail image,Project Imges,Featured?,Color,Author,Porfolio Category,Testimonial
APEX Whey,apex-whey,65950bfde87a28467fc3f42e,657bb757910bceb22fad11a8,69ae9f9f2ee73c3cb91cc119,false,false,Mon Mar 09 2026 10:23:27 GMT+0000 (Coordinated Universal Time),Thu Mar 12 2026 09:41:18 GMT+0000 (Coordinated Universal Time),Thu Mar 12 2026 09:41:18 GMT+0000 (Coordinated Universal Time),,Mon Mar 09 2026 10:21:00 GMT+0000 (Coordinated Universal Time),APEX Whey,Supplements,"<p>APEX WHEY came to me via referral, looking to establish their first digital presence as a whey protein distributor operating out of Cyprus and selling across Europe. With no website to speak of, they had a quality product but no platform to communicate it. I designed and built their brand new site from the ground up, creating a high-impact, conversion-focused experience that matched the ambition of Europe wide expansion and gave the brand a professional home online for the first time.</p>","APEX WHEY came to me via referral, looking to establish their first digital presence as a whey protein distributor operating out of Cyprus and selling across Europe.",https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69ae9f86ac8d93ebfd41317a_Screenshot%202026-03-06%20at%2012.15.19.png,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69ae9f86ac8d93ebfd41317a_Screenshot%202026-03-06%20at%2012.15.19.png,,false,,,website-design; marketing-consulting,
BBS Health Brand Identity,bbs-health-brand-identity,65950bfde87a28467fc3f42e,657bb757910bceb22fad11a8,692426073c9faae617ed069a,false,false,Mon Nov 24 2025 09:31:51 GMT+0000 (Coordinated Universal Time),Mon Nov 24 2025 10:20:07 GMT+0000 (Coordinated Universal Time),Mon Nov 24 2025 10:21:19 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/691eeaa23bd415d74d5a870e_BBS-Health-Logo_Primary_1.avif,,BBS Health,Health Supplements,"<p id="""">I created the full brand identity and packaging system for BBS Health. The work covered the logo, colour palette, typography, visual style and brand guidelines. My goal was to build a clear and trustworthy wellness brand for the Australian market.</p><p id="""">I designed labels for the complete product range. This included Menorelief, NRgy NAD+, Creatine Monohydrate and Total Biotic. Each product follows a consistent layout so customers can recognise the brand while still seeing the unique purpose of each supplement. The colours help separate the products and make it easier for shoppers to understand what they are buying.</p><p id="""">The design keeps the information simple and clear. Key benefits are visible on the front of each pack and the typography is easy to read. We also created product imagery to support online listings and marketing content. This included clean studio photos and lifestyle shots that show the product in real use.</p><p id="""">The result is a brand system that feels confident, modern and consistent across every product.</p>","Brand identity and full label design for BBS Health. I created the logo, colour system, guidelines and packaging for their four hero products. The range includes Menorelief, NRgy NAD+, Creatine Monohydrate and Total Biotic.",https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69242bc581ae07ed6097ec20_15.jpg,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69242bc581ae07ed6097ec20_15.jpg,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/691eeb54c8752ddf8320d27c_P1133328.webp; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/691eeb57f9bb980368b68541_DSC05767.webp; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/691eeb237bac222b13c100d0_image_1.webp; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/691eeafcf07e30835e51b071_DSC06911.jpg; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/691eeb0fedae813a707f5bb9_Meno%20Hand.webp; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/691eeb11cc370d0c12aa04e3_NRgy%203%20Bottles.webp,true,,,logo-design; packaging-design; shopify; email-marketing,
BODIE*Z Packaging Design,bodie-z-packaging-design,65950bfde87a28467fc3f42e,657bb757910bceb22fad11a8,69244037f1f15e4603ba0e51,false,false,Mon Nov 24 2025 11:23:35 GMT+0000 (Coordinated Universal Time),Tue Jan 27 2026 10:57:56 GMT+0000 (Coordinated Universal Time),Tue Jan 27 2026 11:16:02 GMT+0000 (Coordinated Universal Time),,,BODIE*Z,Protein Water,"<p id="""">I created a wide range of packaging concepts and product designs for BODIE*Z across their sports nutrition and hydration categories. The work included ready-to-drink cans, collagen lemonade, magnesium hydration powder, energy gels and protein water formats.</p><p id="""">My focus was to build a clear visual structure that makes it easy for shoppers to identify each product, understand the benefits and recognise the brand on shelf. The designs use bold colours, strong typography and simple icons to highlight key details such as protein content, calories, electrolytes and functional benefits. Each product flavour has its own look while still sitting inside one consistent system.</p><p id="""">I developed multiple concepts for new product lines, including Shaker’Z hydration powder, the full gel range (Electrolyte, Glutathione, Pre Workout, Isotonic and Recovery) and packaging treatments for cans and pouch formats. This involved creating layout options, colour directions, benefit callouts and visual ideas to help the team explore new directions for the brand.</p><p id="""">The result is a collection of packaging that show the breadth of the brand and support BODIE*Z as they expand their product range.</p><p>‍</p>","Packaging concepts and product design created for BODIE*Z. I worked across multiple product lines, including ready-to-drink cans, hydration powders, energy gels and protein powder formats. The work covered flavour systems, icon sets, colour structure and front-of-pack layouts.",https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/697899d45843396c634f4970_Portfolio%20Images%20(1).png,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243f0209f12e4b34082fc4_BODIEZ_Energy%20Gel%20Mocks.webp,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243ece7d4cec7bdc27e15a_BODIEZ_Shakerz_Pouch_Render-snapshot.png; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243ecbf85ef717c810a4fa_528305025_10161205737840843_4818402706533921950_n.jpg; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243ecd4043c2e69f383883_imgi_2_melbourne-victoria-australia-6-january-260nw-2606664013.jpg; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243f0209f12e4b34082fc4_BODIEZ_Energy%20Gel%20Mocks.webp; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243f5aea49e2d6e9bfd7b6_Lemonade%20Thumb.png; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243f5f3209bb07482f49ff_Marine%20collagen%20Lemonade%202.webp; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243f80baf692036af0018d_BODIEZ_Isotonic%20Mockup%20V3.png,false,,,packaging-design; branding-2,
Marketplace Website,marketplace-website,65950bfde87a28467fc3f42e,657bb757910bceb22fad11a8,6595113327518c0b8a203519,false,true,Wed Jan 03 2024 07:48:03 GMT+0000 (Coordinated Universal Time),Mon Nov 24 2025 10:22:25 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/691ee6fede23886d48cde97c_logo.jpg,,Beautifully Well Box,Skincare Subscription Box,"<p id="""">We created a custom Shopify website for Beautifully Well Box. The goal was to make it easy for shoppers to explore their subscription box products and see the value included with each item. Members can view special prices, which helps them understand the benefits of joining the program.</p><p id="""">The site includes clear filters so users can sort products by their needs. Each item has a simple breakdown of its benefits, helping shoppers make quick decisions without feeling overwhelmed. The layout is clean and the flow guides users from browsing to purchase with ease.</p>",Custom Shopify website for Beautifully Well Box. The site highlights their subscription products and gives members access to special prices. Shoppers can browse items with clear filters and learn the key benefits of each product.,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/65951123b486e312b0cdf9f9_Portfolio%20Images.gif,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/65951123b486e312b0cdf9f9_Portfolio%20Images.gif,,true,,,website-design; shopify,"""Marina assisted me with the strategy, design and implementation of my email series. She is such a professional and understood how to present my branding and messaging in an engaging, impactful way. She needed very little briefing and delivered the project quickly and efficiently – going the extra mile to research and resolve a glitch in the process. She a pleasure to work with and I look forward to working with Marina again soon."""
Meal Plan Booklet,meal-plan-booklet,65950bfde87a28467fc3f42e,657bb757910bceb22fad11a8,659510cfe6693ccd0c7bb040,false,false,Wed Jan 03 2024 07:46:23 GMT+0000 (Coordinated Universal Time),Mon Nov 24 2025 10:48:45 GMT+0000 (Coordinated Universal Time),Mon Nov 24 2025 11:08:54 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/691ee942579057047e33c67f_0x0.png,,Thinco,Natural Supplements,"<p id="""">I designed a printed meal plan booklet for Thinco to support customers who use their natural weight loss supplement. The goal was to give people a simple guide they could follow each day without feeling confused or overwhelmed.</p><p id="""">The layout follows the Thinco brand and keeps the information clear. Each section helps users plan meals and stay on track with their health goals. The booklet was created for the Australian market and focuses on healthy, balanced eating that fits real routines.</p>","Printed meal plan booklet designed for Thinco. It supports customers using their natural weight loss supplement and gives a clear, easy guide for everyday meals.",https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69242e1b376bc3be7330fc55_8.jpg,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69242e1b376bc3be7330fc55_8.jpg,,false,,,print; brochure,
Moody Candles,moody-candles,65950bfde87a28467fc3f42e,657bb757910bceb22fad11a8,65950f5f685d1e0603a48a6a,false,false,Wed Jan 03 2024 07:40:15 GMT+0000 (Coordinated Universal Time),Mon Nov 24 2025 10:24:39 GMT+0000 (Coordinated Universal Time),Mon Nov 24 2025 10:24:39 GMT+0000 (Coordinated Universal Time),,,Moody,Scented Candles,"<p id="""">Label design for Moody candles, the design harmonises fragrance and brainwave frequencies to evoke emotions like love, calm, and energy. The modern aesthetic blends brand waves with vibrant colours, creating a visually engaging representation. This label encapsulates Moody's unique approach, promising an emotive and sensory experience with every candle.<br></p>","Label design for Moody Candles, the design harmonises fragrance and brainwave frequencies to evoke emotions like love, calm, and energy.
",https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69242ed28021d105d01e3eb7_20.jpg,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/6595104c042c865e4fc82005_6577df17b96b79ab86216333_Moody%20Candles.gif,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69242ed6c0ec8b9f262d0421_17.jpg; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69242ed64f1e789400a4f436_18.jpg; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69242ed79bca9c86f27833a3_19.jpg; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69242ed28021d105d01e3eb7_20.jpg,true,,,label; logo-design; branding,
Natalie Lowe Website,natalie-lowe-website,65950bfde87a28467fc3f42e,657bb757910bceb22fad11a8,69b7c3816ed0102e7c4e11ca,false,true,Mon Mar 16 2026 08:46:57 GMT+0000 (Coordinated Universal Time),Mon Mar 16 2026 08:58:14 GMT+0000 (Coordinated Universal Time),Mon Mar 16 2026 08:49:16 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69b7c3d675b0768b9f964568_NL_Logo-Full_Magenta-1024x821.webp,,Natalie Lowe,Professional Australian Dancer,"<p>Natalie Lowe is one of Australia's most recognised professional dancers, a four-time national ballroom champion, Dancing with the Stars winner and seven-series Strictly Come Dancing professional. She approached me to build her personal brand and launch FitSteps Australia, her dance-inspired fitness program co-founded with fellow Strictly professionals.</p><p>I designed and built her WordPress website from scratch, handling the full creative direction, brand identity, Stripe payment integration and booking system setup — giving Natalie a premium digital home that matched her profile and everything she needed to launch her Australian classes with confidence.</p><p>‍</p><p><a href=""https://www.natalielowe.com/fitsteps"">www.natalielowe.com</a></p>","
WordPress website and personal brand launch for Natalie Lowe, four-time Australian ballroom champion, Dancing with the Stars winner and Strictly Come Dancing professional. Built to launch her FitSteps dance fitness program in Australia.",https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69b7c2e81f4125ff84239c92_Portfolio%20Images-27.jpeg,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69b7c2e81f4125ff84239c92_Portfolio%20Images-27.jpeg,,true,,,website-design; wordpress,
Natomi Coffee Co. Website,natomi-coffee-co,65950bfde87a28467fc3f42e,657bb757910bceb22fad11a8,69b7c5f720d86875e8c9dee9,false,false,Mon Mar 16 2026 08:57:27 GMT+0000 (Coordinated Universal Time),Mon Mar 16 2026 08:57:56 GMT+0000 (Coordinated Universal Time),Mon Mar 16 2026 08:57:56 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69b7c5f41981b395c1d0c2e1_Asset_1ldpi.avif,,Natomi Coffee Co.,Drip Coffee Bags,"<p>Natomi Coffee is an Australian specialty coffee brand founded by Nathan and Naomi in Norah Head on the NSW Central Coast, built around quality roasts, outdoor adventure and giving back, with 5% of every sale going to the NSW Rural Fire Brigade.</p><p>I built their Shopify store from scratch, creating all visual elements including imagery and design assets to bring the brand to life online. The result is a warm, story-driven DTC store that communicates the brand's ethos clearly and makes it easy for customers to find and buy their perfect roast.</p>","Shopify website built from scratch for Natomi Coffee, an Australian specialty coffee brand roasted on the NSW Central Coast, selling beans and innovative pre-filled drip filters online.",https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69b7c5c35c08629e8aba4ff8_Portfolio%20Images-28.jpeg,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69b7c5c35c08629e8aba4ff8_Portfolio%20Images-28.jpeg,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69b7c5cb501ade0eefa78715_Portfolio%20Images-29.jpeg,true,,,website-design; shopify,
Packaging Design,packaging-design,65950bfde87a28467fc3f42e,657bb757910bceb22fad11a8,65950d1cbe3f23e8021cecbe,false,false,Wed Jan 03 2024 07:30:36 GMT+0000 (Coordinated Universal Time),Mon Nov 24 2025 10:50:17 GMT+0000 (Coordinated Universal Time),Mon Nov 24 2025 11:08:54 GMT+0000 (Coordinated Universal Time),,,Beautifully Well Box,Skincare Subscription Box,"<p id="""">This subscription box design summarises the brand's ethos through a blend of calming colours and refined typography. Aligned with their commitment to beauty and wellness, the design integrates into their branding strategy. This distinctive sticker enhances the unboxing experience, leaving a lasting imprint and setting Beautifully Well Box apart in the competitive market.</p><p id=""""></p>","This subscription box design summarises the brand's ethos through a blend of calming colours and refined typography.
",https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243192a461b1b850f33a1a_5.jpg,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/65950deaabb86ff0295a9017_BWB%20Packaging.png,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/692431302f0d829375465b09_157304553_1946437058829731_3018812990796621555_n.jpg; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/692431360711ba16f8902130_484368621_3130944923712266_6039674722725119606_n.jpg; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/6924313442485c94691bd45f_480248528_3105533612920064_1876491471012731166_n.jpg,true,,,packaging-design; re-brand; print,
SmileSip Brand Identity & Websit,smilesip-brand-identity,65950bfde87a28467fc3f42e,657bb757910bceb22fad11a8,69243aab791ec17e30aa8828,false,true,Mon Nov 24 2025 10:59:55 GMT+0000 (Coordinated Universal Time),Mon Mar 16 2026 08:21:52 GMT+0000 (Coordinated Universal Time),Mon Nov 24 2025 11:08:54 GMT+0000 (Coordinated Universal Time),,,SmileSip,Oral Health Drink Mix,"<p id="""">I created the brand identity and packaging for SmileSip, a pH-neutral oral health drink mix made to support everyday dental care. My work included the logo, colour palette, typography, flavour system, icons and the full packaging design.</p><p id="""">My goal was to build a brand that feels fresh, credible and easy to understand. I shaped the visual direction around clarity and daily use. Each flavour has its own colour while still fitting into one unified system. The label layout keeps all key details readable so shoppers can understand the benefits at a glance.</p><p id="""">I designed the packaging for individual pouches and the wider flavour range. The style works across print, social media, the website and retail displays. I also created supporting visuals used through their digital presence, helping the brand extend into education and daily oral care habits.</p><p id="""">This project established the core identity that SmileSip now uses across all channels, giving the brand a strong and consistent foundation as it grows.</p><p>‍</p>","Brand identity and packaging created for SmileSip. I designed the logo, colour system, flavour range, icons and the full visual style for this oral health drink mix. The work covers product packaging, digital assets and the look and feel used across their website and marketing.",https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243a10ae5491fc4a56e440_Portfolio%20Images.webp,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243a10ae5491fc4a56e440_Portfolio%20Images.webp,https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243a38236e25ec689c7490_DSC00387.jpg; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243a394ffa6155433fed15_DSC09523.png; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243a8781ae07ed609cfb06_Trifold%20Mock.webp; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243a8df1f15e4603b83c29_Tent%20Sign.webp; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243a8dab094a5d5da9945d_Shelf%20Wobbler.webp; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243a8f73e7f76c97a151e1_Notepad%20A5.webp; https://cdn.prod.website-files.com/657bb757910bceb22fad11a9/69243a93fc3a1ae1d354b289_Postcard%20Mock.webp,false,,,branding-2; logo-design; packaging-design; collateral,
